	1	2	3	4	5	6	7	8	9
525	11	1	0	8	0	15	0	0	0
526	4	6	0	2	0	0	0	3	0
527	16	1	1	1	0	0	0	2	0
528	4	14	1	0	0	0	0	13	0
529	19	2	0	0	0	0	0	3	0
530	19	0	1	0	0	4	0	0	11
531	18	7	6	4	0	0	0	0	17
532	8	3	4	0	0	0	5	0	0
533	27	1	5	3	0	0	0	0	7
534	4	6	0	1	0	0	0	1	0
535	15	3	0	4	0	9	0	0	0
536	7	23	0	0	0	4	0	5	0
537	10	8	0	1	0	0	4	0	0
538	9	7	7	26	0	26	0	0	0
539	7	1	1	2	0	0	0	0	0
540	4	3	1	1	13	0	0	0	0
541	9	3	1	2	0	7	0	0	0
542	18	1	0	1	2	4	0	0	4
543	12	2	12	4	1	0	13	0	0
544	5	10	0	3	0	0	0	4	0
545	7	5	12	0	0	0	1	0	0
546	7	1	1	7	4	7	0	0	0
547	18	4	6	11	0	26	0	0	0
548	4	9	1	18	0	16	0	0	0
549	15	5	0	0	0	0	0	8	0
550	9	0	2	9	0	5	0	0	0
551	8	1	0	1	3	1	0	0	0
552	21	2	4	1	1	6	0	0	3
553	10	5	13	0	0	0	8	0	0
554	8	7	1	0	0	0	0	0	0
555	3	8	0	0	0	1	0	5	0
556	10	2	0	1	3	0	0	0	0
557	1	3	1	5	0	0	0	0	0
558	3	3	1	26	0	21	0	0	0
559	10	2	0	0	0	1	2	0	0
560	4	6	0	9	0	1	0	0	0
561	2	3	0	12	0	16	0	0	0
562	13	8	3	0	0	0	0	1	0
563	25	4	5	1	0	0	0	0	10
564	2	0	0	3	3	0	0	0	0
565	10	6	19	1	0	0	7	0	0
566	12	2	6	5	0	1	0	0	0
567	9	3	0	0	2	0	0	0	1
568	5	1	1	7	0	6	0	0	0
569	16	4	0	0	1	3	0	0	0
570	1	11	4	0	1	0	3	0	0
571	4	0	3	0	0	0	0	2	0
572	10	6	0	6	0	0	0	0	0
573	8	0	1	0	0	0	0	0	0
574	6	3	3	2	1	0	0	0	0
575	24	3	3	1	3	0	0	0	9
576	5	4	2	0	0	0	0	0	0
577	11	3	12	1	0	0	13	0	0
578	2	6	9	1	0	0	6	0	0
579	9	3	3	2	0	0	1	0	0
580	4	11	0	17	0	13	0	0	0
581	18	0	0	0	0	1	2	1	3
582	9	6	9	0	8	0	11	0	0
583	2	13	0	1	0	0	0	0	0
584	11	2	41	1	0	0	31	0	0
585	11	12	3	7	0	0	0	0	0
586	19	10	2	0	1	2	0	1	0
587	3	9	0	15	1	27	0	0	0
588	2	3	0	0	0	0	0	0	0
589	9	0	1	1	2	2	0	0	0
590	8	1	3	4	4	0	0	0	4
591	11	1	2	0	2	0	0	0	0
592	8	7	3	0	0	0	0	0	0
593	12	9	1	0	0	2	0	2	0
594	4	8	1	7	0	2	0	0	0
595	6	0	0	2	0	0	0	0	4
596	9	1	0	5	20	0	0	0	0
597	14	4	5	0	0	0	0	0	8
598	14	5	4	2	0	0	3	0	0
599	5	9	10	0	0	0	10	0	0
600	15	6	0	11	3	14	0	0	0
601	3	26	3	0	0	2	0	13	0
602	5	10	0	0	0	2	0	0	0
603	0	1	2	0	3	0	0	0	0
604	14	7	2	0	0	0	5	0	0
605	5	1	0	0	7	0	0	0	0
606	3	0	11	3	0	0	4	0	0
607	9	8	0	0	0	2	0	5	0
608	6	6	0	0	2	0	0	8	0
609	12	2	0	3	0	0	0	3	1
610	5	4	4	21	0	21	0	0	0
611	8	16	3	9	0	0	0	19	0
